																		T	Q number		Examiner			Year	Description	
																					Walletzký			2023	SDL vs PDL, Kdyz jsme se dostali k paradigmatum, chtel vysvetlit, pripadne ukazat na prikladu, co znamenaji. Kdyz jsem s necim struglil, snazil se me navest ke spravnemu reseni. Celkove oba dva byli dost v pohode a atmosfera byla celkem pohodova, az ze me ta trema skoro odpadla	SDL vs PDL, When we got to the paradigms, he wanted to explain, or show by example, what they meant. When I struggled with something, he tried to guide me to the right solution. Overall, both of them were pretty cool and the atmosphere was quite relaxed, to the point that I almost forgot about the three
																			6S		Batko			2023	Pýtal sa na prvé štyri vrstvy ISO/OSI modelu, čo sa na každej prenáša. K fyzickej nestačí povedať, že sa prenáša signál, chcel počuť, že sa prenášajú nuly a jednotky. Ďalej chcel počuť príklad základnej služby sietí - napr. ARP alebo DNS. Potom sa pýtal na spôsob zabezpečenia setí - hovoril som o IPsec a TLS/SSL ale bolo vidieť, že chce zase počuť niečo iné, nad čím už mávol rukou a povedal, že mu to stačí. Celkovo väčšina vecí z materiálov hack.md bola dosť nepresná a určite to nestačilo na Ačko (aspoň čo sa týka sietí). Batko bol veľmi sympatický, pomáhal a navádzal na to, čo chcel počuť.	He asked about the first four layers of the ISO/OSI model, what is transferred to each. For physics, it is not enough to say that a signal is being transmitted, he wanted to hear that zeros and ones are being transmitted. Next, he wanted to hear an example of a basic network service - eg ARP or DNS. Then he asked about the method of securing networks - I talked about IPsec and TLS/SSL, but it was clear that he wanted to hear something else, which he already waved his hand at and said that was enough for him. Overall, most of the stuff from the hack.md materials was pretty inaccurate and certainly not enough for Ačko (at least as far as networks are concerned). Batko was very sympathetic, helped and suggested what he wanted to hear.
																			8S		Walletzký			2023	2023	2023
																			8S		Zlatuška			2023	Chcel počuť vlastnosti hashovacej funkcie. Je dôležité nespomenúť "ideálne chceme, aby bola hashovacia funkcia bezkolízna", vraj sa to učí ale je to nezmysel a netreba to spomínať. Aj keď bol predseda komisie, skúšal ma primárne on. Pôsobil dosť nepríjemne, naťahoval ma na vlastnostiach, ktoré som hovoril podľa poučiek ale on s nimi nesúhlasil - nakoniec sa ma zastal skúšajúci, že v princípe je dobré to, čo hovorím. Pri obhajobe diplomovej práce driemal.	He wanted to hear the properties of the hash function. It is important not to mention "ideally, we want the hashing function to be collision-free", it is supposed to be learned, but it is nonsense and there is no need to mention it. Even though he was the chairman of the commission, he primarily tested me. He acted rather unpleasantly, he teased me about the qualities that I said according to the instructions, but he did not agree with them - in the end the examiner defended me, saying that in principle what I said was good. He was dozing off while defending his thesis.
																			2S		Dohnal			2023	Distribuované systémy. skalovatelnost, virtualizacia	Distributed systems. scalability, virtualization
																			1M		Bühnová			2023	Softwarové inženýrství. kvalita softwaru, odhadovanie usilia, testovanie	Software engineering. software quality, effort estimation, testing
																			1M		Ráček			2023	Odhadování úsilí na projektu, jaké máme způsoby a kdy je použít. COCOMO hodně do hloubky, módy, modely a vzorce. To stejné pro COCOMO2. Kdy se jaký model používá atd. Pak nějaké další analogie k nákladům a usílí WBS, PERT a FP ale to jen velmi okrajově.	Estimating effort on a project, what methods we have and when to use them. COCOMO very in depth, modes, models and formulas. Same for COCOMO2. When is which model used etc. Then some other analogies to costs and efforts WBS, PERT and FP but only very marginally.
																			2M		Spurný			2023	K čemu se Businness Modely používají? V čem jsou výhodné. Potom popsat a nakreslit všechny základní elementy. Jaké bych měl mít konzistence s jinými diagramy. Jaká je UML alternativa k BPM.	What are Business Models used for? What are their advantages? Then describe and draw all the basic elements. What should I have consistency with other diagrams. What is the UML alternative to BPM.
																			PSKB-IB		 			2023	Key establishment protocols/ key derivation protocols, their types, classification, kerberos, signal protocol	Key establishment protocols/ key derivation protocols, their types, classification, kerberos, signal protocol
																			6S		Čeleda			2023	Modely ISO/OSI, TCP, jak fungují, IP protokol, Bezpečnost IP	ISO/OSI models, TCP, how they work, IP protocol, IP security
																					Walletzký			2023	Marketing mixes	Marketing mix
																					Oujezský			2023	Waterfall a agile	Waterfall and agile
			https://www.fi.muni.cz/studies/fe-mgr/swe2021.html.en																4M		Walletzký			2023	Teória Vitality - všeobecná definícia vitality, semafor vitality, pyramída vitality - jednotlivé stupne (ako vieme, že sme ich dosiahli, prečo stabilita nestačí: chcel príklad spoločnosti, ktoré podcenili dynamiku a skrachovali), teória obmedzení. Ďalej sme sa bavili o pyramíde a pýtal sa nejaké doplňujúce otázky typu: čo ak manažer povie, že už sme na vrchole a nemáme čo zlepšovať (vtedy chceme spätnú vazbu od nejakej externej spoločnosti, ktorá sa nato špecializuje - určite máme čo zlepšovať len to nevidíme (profesionálna slepota)). Bol ale úplne v pohode, skúšanie prebiehalo skôr formou diskusie.	Theory of Vitality - general definition of vitality, semaphore of vitality, pyramid of vitality - individual stages (how do we know we have reached them, why stability is not enough: he wanted an example of a company that underestimated dynamics and went bankrupt), theory of limitations. We then talked about the pyramid and he asked some additional questions such as: what if the manager says that we are already at the top and there is nothing to improve (then we want feedback from some external company that specializes in that - we definitely have something to improve, we just don't see it (professional blindness)). But he was completely cool, the exam was more like a discussion.
			PA165 PV179	PV260 PA017 PA103	PA017	PA179	PV003 PV062	PA159 PA191	PA053	PA103 PV167 PV258	PA220 PA036	PV157 PA193 PV276	PV182 PV247 PV278	PA018 PV276 PA211	PA200	PV065 PV077	PV065 PV077 PV175	PA195	6S		Oujezský			2023	Siete - najprv chcel nejak všeobecne zadefinovať Zabezpečení v systémových relacích (prečo to robíme - odpovedal som, že chceme dosiahnuť dôvernosť, integritu a autenticitu a bližšie to popísal - to mu stačilo), potom sme rozoberali konkrétne protokoly TLS/SSL (ako funguje protokol, kde sa využíva, ako prebieha handshake, trochu sme zašli do asymetrickej kryptografie a digitálnych certifikátov), IPsec (opať princíp činnosti, čo nám zabezpečujú AH/ESP + transport/tunnel mód). Bol milý nepýtal sa nič zákerné.	Networks - first he wanted to define Security in system sessions in a general way (why do we do it - I answered that we want to achieve confidentiality, integrity and authenticity and he described it in more detail - that was enough for him), then we analyzed the specific TLS/SSL protocols (how the protocol works, where it is used, how the handshake takes place, we went a bit into asymmetric cryptography and digital certificates), IPsec (again, the principle of operation, which is ensured by AH/ESP + transport/tunnel mode). He was nice and didn't ask anything sneaky.
